epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,521.38,0.97641,0.63333,0.79787,0.9745,0.97248,0.98304,0.76037,0.84536,0.50315,0.78421,0.000148512,0.000148512,0.000148512
82,527.929,0.98857,0.6458,0.79803,0.97591,0.97426,0.98298,0.77489,0.79772,0.49291,0.78402,0.000141443,0.000141443,0.000141443
83,534.207,0.96379,0.63016,0.79787,0.97371,0.96759,0.98244,0.78614,0.76402,0.4845,0.78294,0.000134375,0.000134375,0.000134375
84,540.556,0.99716,0.65468,0.79923,0.97341,0.96765,0.98222,0.76613,0.82087,0.49665,0.78321,0.000127306,0.000127306,0.000127306
85,546.916,0.98261,0.62673,0.79628,0.97764,0.97255,0.98274,0.76986,0.80935,0.48592,0.7836,0.000120238,0.000120238,0.000120238
86,553.24,0.95548,0.61585,0.7976,0.97278,0.972,0.98279,0.77838,0.79981,0.48972,0.78374,0.000113169,0.000113169,0.000113169
87,559.581,0.94448,0.60722,0.79643,0.97612,0.9658,0.98294,0.78391,0.76681,0.4842,0.78303,0.0001061,0.0001061,0.0001061
88,565.892,0.93235,0.60075,0.79552,0.97209,0.97469,0.98369,0.76962,0.82596,0.48704,0.78339,9.90318e-05,9.90318e-05,9.90318e-05
89,572.211,0.96533,0.62531,0.79883,0.97645,0.97054,0.98288,0.78605,0.77099,0.47926,0.78305,9.19632e-05,9.19632e-05,9.19632e-05
90,578.517,0.95069,0.61565,0.79532,0.97209,0.97407,0.98326,0.76957,0.82608,0.49104,0.78371,8.48946e-05,8.48946e-05,8.48946e-05
91,590.174,0.84236,0.56841,0.79064,0.97262,0.96906,0.98236,0.7857,0.76193,0.48224,0.78276,7.7826e-05,7.7826e-05,7.7826e-05
92,596.362,0.85852,0.57524,0.79127,0.97787,0.96546,0.9843,0.76632,0.82204,0.4941,0.7839,7.07574e-05,7.07574e-05,7.07574e-05
93,602.534,0.8291,0.5561,0.79635,0.97419,0.97085,0.98218,0.7825,0.76862,0.4816,0.78329,6.36888e-05,6.36888e-05,6.36888e-05
94,608.683,0.82555,0.54387,0.79169,0.98447,0.96039,0.98279,0.77815,0.78468,0.47871,0.7833,5.66202e-05,5.66202e-05,5.66202e-05
95,614.863,0.80687,0.5436,0.78927,0.977,0.97122,0.98372,0.78657,0.75726,0.47489,0.78222,4.95516e-05,4.95516e-05,4.95516e-05
96,621.045,0.81922,0.53893,0.79508,0.97481,0.9733,0.98373,0.78379,0.77686,0.47628,0.78259,4.2483e-05,4.2483e-05,4.2483e-05
97,627.185,0.83403,0.5426,0.7949,0.97501,0.97258,0.98354,0.7878,0.75351,0.4725,0.78236,3.54144e-05,3.54144e-05,3.54144e-05
98,633.442,0.807,0.53374,0.78473,0.97444,0.97479,0.98349,0.79144,0.7484,0.46884,0.78225,2.83458e-05,2.83458e-05,2.83458e-05
99,639.608,0.8171,0.53336,0.79596,0.97796,0.97585,0.98371,0.78786,0.75575,0.47093,0.78233,2.12772e-05,2.12772e-05,2.12772e-05
100,645.771,0.81232,0.53605,0.79183,0.9778,0.97287,0.98367,0.79209,0.7434,0.46885,0.78201,1.42086e-05,1.42086e-05,1.42086e-05
